"time","xS","xI","xV","xR","xC","xF","xJ","date","R_t"
158,81576.6141589647,0.292659556724436,18396.7233265361,26.3698549417562,0.0836618453695539,55.5337531289862,964083.174950072,2020-06-07,0.198642225609398
159,81516.827568926,0.26991640092622,18456.7245210137,26.1779936587264,0.0774177690859985,55.5391378547441,964888.309006021,2020-06-08,0.184094850618695
160,81457.4936928037,0.248583154048451,18516.2721861939,25.9855378475659,0.0715223063919655,55.5437281549852,965632.74661221,2020-06-09,0.169916272949943
161,81398.6090025018,0.228616054445444,18575.3697507251,25.792630717864,0.0659704245854272,55.5476191577211,966319.950353509,2020-06-10,0.156139965703702
162,81340.1700053267,0.209967725225673,18634.0206172051,25.5994097422794,0.0607554022760533,55.5508978122228,966953.323905071,2020-06-11,0.142797783427454
163,81282.1732434764,0.192587754547034,18692.2281623951,25.4060063731984,0.0558689985706539,55.5536431365832,967536.195978991,2020-06-12,0.129919836052496
164,81224.6152934668,0.17642328113518,18749.9957374314,25.2125458198994,0.0513016342977188,55.5559265289124,968071.806027112,2020-06-13,0.117534394515255
165,81167.4927655069,0.161419573824891,18807.3266680329,25.0191468856756,0.0470425804607392,55.5578121309241,968563.291796245,2020-06-14,0.105667827282317
166,81110.8023028345,0.147520594915007,18864.2242547065,24.8259218632983,0.0430801493207948,55.5593572325808,969013.678784788,2020-06-15,0.0943445662190983
167,81054.5405810253,0.134669538360658,18920.6917729492,24.6329764862681,0.0394018838649412,55.5606127067456,969425.871605552,2020-06-16,0.083587099598047
168,80998.7043072844,0.122809335229139,18976.732473447,24.4404099324902,0.0359947418862096,55.561623463355,969802.647219305,2020-06-17,0.0734159895464196
169,80943.2902197305,0.111883120344585,19032.3495822719,24.2483148763644,0.0328452714494463,55.5624289134528,970146.649968504,2020-06-18,0.0638499108895871
170,80888.2950866834,0.101834655572607,19087.5463010754,24.0567775847778,0.029939775111086,55.5630634344065,970460.388311468,2020-06-19,0.0549057081484481
171,80833.7157059605,0.0926087066878256,19142.3258072798,23.8658780521554,0.0272644608690113,55.5635568287504,970746.233133874,2020-06-20,0.0465984673870857
172,80779.5489041901,0.0841513721731496,19196.6912542674,23.6756901695251,0.0248055784136098,55.5639347702649,971006.41749723,2020-06-21,0.0389415996623752
173,80725.7915361464,0.0764103635793667,19250.6457715667,23.4862819224992,0.0225495398106243,55.5642192320854,971243.037672564,2020-06-22,0.0319469329807908
174,80672.4404841107,0.0693352381983236,19304.1924650373,23.2977156131349,0.0204830242534426,55.5644288927759,971458.055301415,2020-06-23,0.0256248098975503
175,80619.4926572609,0.0628775857551615,19357.3344170518,23.1100481008056,0.0185930669655261,55.5645795173793,971653.300524891,2020-06-24,0.0199841881780249
176,80566.9449910939,0.0569911715973072,19410.0746866763,22.9233310574631,0.0168671327061829,55.5646843114414,971830.475924257,2020-06-25,0.0150327422607167
177,80514.7944468774,0.0516320394516195,19462.4163098493,22.7376112329874,0.0152931746328028,55.5647542468793,971991.16112265,2020-06-26,0.0107769635969115
178,80463.0380111373,0.0467585772447276,19514.3622995581,22.5529307266832,0.0138596795015075,55.5647983593137,972136.817906236,2020-06-27,0.00722225827893387
179,80411.6726951746,0.0423315497489947,19565.9156460135,22.3693272613832,0.012555700350383,55.5648240171197,972268.795733763,2020-06-28,0.00437304069419165
180,80360.6955346162,0.0383141019452288,19617.0793168241,22.1868344570248,0.0113708779114384,55.5648371629631,972388.337515548,2020-06-29,0.00223282224644289
181,80310.103588994,0.0346717370028536,19667.8562571673,22.0054821009797,0.01029545204688,55.5648425289888,972496.585555582,2020-06-30,0.00080429446219732
182,80259.8939413538,0.0313722726892218,19718.2493899599,21.8252964128344,0.00932026451046854,55.5648438271257,972594.587563575,2020-07-01,8.94060447716445e-05
183,80210.0636978905,0.0283857798523154,19768.2616160272,21.6463003016969,0.00843675430402261,55.5648439161758,972683.302656545,2020-07-02,8.94336492526282e-05
184,80160.6099876083,0.0256845063943288,19817.8958142701,21.4685136144807,0.00763694684053757,55.5648449474901,972763.607282004,2020-07-03,0.000805046328315445
185,80111.5299620042,0.0232427898850571,19867.1548418312,21.2919533739577,0.00691343804631719,55.5648484910839,972836.301006578,2020-07-04,0.00223636374267138
186,80062.8207947721,0.0210369616690443,19916.0415342598,21.1166340056776,0.00625937444152321,55.5648556440554,972902.112124663,2020-07-05,0.00438300834308725
187,80014.4796815262,0.0190452450122807,19964.5587056749,20.9425675531285,0.00566843013729333,55.5648671231332,972961.703051769,2020-07-06,0.00724415181629132
188,79966.5038395412,0.017247649523852,20012.7091489277,20.7697638807575,0.00513478158276864,55.5648833431059,973015.675475903,2020-07-07,0.0108185561479065
189,79918.8905075086,0.0156258637840998,20060.4956357622,20.5982308646815,0.00465308079080069,55.5649044827913,973064.575248242,2020-07-08,0.0151046096952492
190,79871.636945293,0.0141631477508492,20107.9209169877,20.4279745711126,0.00421842764933384,55.5649305400907,973108.897003133,2020-07-09,0.0201003586851799
191,79824.7404337424,0.0128442266251387,20154.9877226079,20.2589994225634,0.00382634194152808,55.5649613775559,973149.088492034,2020-07-10,0.0258035345576419
192,79778.1982744721,0.0116551867916263,20201.6987619882,20.0913083522939,0.00347273536945998,55.5649967597626,973185.554644862,2020-07-11,0.0322115775747824
193,79732.0077896496,0.0105833749932417,20248.0567240277,19.9249029472334,0.00315388402075358,55.5650363836592,973218.661353408,2020-07-12,0.0393216571005901
